_id,is_closed,name,photo_200,screen_name,type
-40335272,0,Фильмы,https://pp.userapi.com/c638021/v638021892/2e878/8DE9UMi7BTA.jpg,films_for_soul,page
-119756085,0,Все до 1000 СПБ • Санкт-Петербург • Питер,https://pp.userapi.com/c633829/v633829114/40a0e/LfHsJnH4WWQ.jpg,do1000rub,page
-23433159,0,Трахни Нормальность,https://pp.userapi.com/c639429/v639429319/4de07/dgKtIPuCQRw.jpg,trahninormalnost1,page
-59086790,0,Отдам даром СПБ • Санкт-Петербург • Питер,https://pp.userapi.com/c629408/v629408556/3f2d6/ZGw0dU4Q7_s.jpg,otdamdarom.piter,page
-18464856,0,Лучшие рецепты Повара,https://pp.userapi.com/c638923/v638923017/14057/SNQg9GiA9PE.jpg,vpovare,page
-47118092,0,Кулинарное искусство,https://pp.userapi.com/c308319/v308319991/34e5/AllKeQV9Hlc.jpg,cooklove,page
-57846937,0,MDK,https://pp.userapi.com/c840320/v840320302/23b7f/8eaLU_wh9_s.jpg,mudakoff,page
-29246653,0,Корпорация Зла,https://pp.userapi.com/c639920/v639920112/21aea/hm2UEzfScKk.jpg,evil_incorparate,page
-56106344,0,Палата №6,https://pp.userapi.com/c840736/v840736203/23fb7/RK9DAUCAJsg.jpg,pn6,page
-29046529,0,Работа в Санкт-Петербурге | СПб,https://pp.userapi.com/c836327/v836327458/1100b/letWeLpHHcM.jpg,spb_job,page
-34118551,0,Наука и Факты,https://pp.userapi.com/c624622/v624622046/4fe7f/-A67EkP-WPk.jpg,generaldelusion,page
-23170931,0,Великие Слова | Цитаты и Афоризмы,https://pp.userapi.com/c630721/v630721933/39429/UjP4CLzac9k.jpg,velikieslova,page
-40567146,0,Лайфхак,https://pp.userapi.com/c837326/v837326437/1dd67/g4wmumiO1pQ.jpg,lhack,page
-15755094,0,РИА Новости,https://pp.userapi.com/c639623/v639623960/20944/adzE8mjhla0.jpg,ria,page
-45588871,0,Омар Хайям и другие великие философы,https://pp.userapi.com/c419518/v419518383/29bb/kB4uH3Rovuk.jpg,poet_omar,page
-40020304,0,Думай и Богатей,https://pp.userapi.com/c637920/v637920268/717e/qjWdzcm1gcE.jpg,dumaib,page
-34137285,0,О чем говорят мужчины,https://pp.userapi.com/c623924/v623924784/22950/FaAsvLxJq98.jpg,for_men_only,page
-43215063,0,Киномания | Новинки кино 2017,https://pp.userapi.com/c837225/v837225900/73f5e/3mCKbjDl8Fc.jpg,kinomania,page
-36959676,0,Интересные факты,https://pp.userapi.com/c633216/v633216752/1911b/NCjCAP4gRyA.jpg,vk.goodfakts,page
-41807730,0,ОСТРОУМНЫЕ,https://pp.userapi.com/c639528/v639528351/1ae67/nzTWM9HxabU.jpg,ostroym,page
-28890647,0,♥ Открытки,https://pp.userapi.com/c636429/v636429782/1708a/bSbsyk42HUE.jpg,fotomagic_su,page
-45441631,0,ПРИКОЛЫ | Смеяка,https://pp.userapi.com/c628027/v628027274/451de/k6CvNG8pn_A.jpg,smeyaka,page
